text,label
"Click here now for a special limited time offer!!!",spam
"Hi, how are you doing today?",ham
"CONGRATULATIONS! You've won $1,000,000! Act now!",spam
"Let's meet for coffee next week",ham
"URGENT: Your account needs verification. Click to confirm identity.",spam
"Hi John, thanks for the email.",ham
"**RISK FREE TRIAL** - Buy now and save 50%!!!",spam
"The meeting is rescheduled to 3pm tomorrow",ham
"You are a winner! Claim your prize NOW!",spam
"Can you send me the report?",ham
"FINAL OFFER - LIMITED TIME - CALL NOW!!!",spam
"Looking forward to seeing you",ham
"Verify your account immediately!",spam
"What time is the presentation?",ham
"FREE MONEY! No credit card needed!",spam
