text,label
"Click now to unlock your exclusive bonus!!!",spam
"Hi, are we still meeting later?",ham
"CONGRATULATIONS! You have been selected!",spam
"Can you review my document?",ham
"URGENT: Verify your account immediately!",spam
"Thanks for your message earlier.",ham
"LIMITED TIME DEAL - ACT FAST!!!",spam
"The meeting starts at 2pm.",ham
"You are our lucky winner! Claim now!",spam
"Looking forward to tomorrow.",ham
"FREE CASH BONUS - SIGN UP NOW!",spam
"Can you send the slides?",ham
"FINAL NOTICE: Account suspension pending!",spam
"What time should we leave?",ham
"WIN BIG TODAY - CLICK HERE!",spam
"Hi Sarah, thanks again.",ham
"EXCLUSIVE OFFER - 70% OFF TODAY ONLY!",spam
"I’ll call you later.",ham
"VERIFY YOUR IDENTITY TO AVOID LOCKOUT!",spam
"Are you free this weekend?",ham
"YOU WON $500! RESPOND NOW!",spam
"Please see the attached file.",ham
"RISK FREE INVESTMENT OPPORTUNITY!",spam
"The assignment is due Friday.",ham
"CLAIM YOUR REWARD BEFORE MIDNIGHT!",spam
"Let me know your thoughts.",ham
"FREE TRIAL - NO OBLIGATION!",spam
"Thanks for the update.",ham
"URGENT SECURITY ALERT - LOGIN NOW!",spam
"See you at practice.",ham
"LIMITED STOCK AVAILABLE - ORDER NOW!",spam
"Can we reschedule?",ham
"YOU'VE BEEN CHOSEN FOR A PRIZE!",spam
"Please confirm receipt.",ham
"ACT NOW OR MISS OUT FOREVER!",spam
"How was your weekend?",ham
"FREE VACATION PACKAGE - CLICK NOW!",spam
"I’ll bring the notebook.",ham
"IMMEDIATE RESPONSE REQUIRED!",spam
"Meeting moved to Tuesday.",ham
"DOUBLE YOUR INCOME STARTING TODAY!",spam
"Can you help with homework?",ham
"FINAL WARNING - VERIFY ACCOUNT!",spam
"Thanks for your help.",ham
"FREE GIFT CARD INSIDE!",spam
"See you tomorrow morning.",ham
"YOU QUALIFY FOR A CASH REWARD!",spam
"Let’s grab lunch.",ham
"EXCLUSIVE VIP ACCESS - JOIN NOW!",spam
"Did you finish reading?",ham
"URGENT: PAYMENT CONFIRMATION NEEDED!",spam
"Call me when you arrive.",ham
"LIMITED BONUS - CLAIM TODAY!",spam
"Practice starts at 4.",ham
"WIN A BRAND NEW PHONE TODAY!",spam
"Please send the spreadsheet.",ham
"INSTANT LOAN APPROVAL!",spam
"Thanks again!",ham
"FREE MEMBERSHIP - ACT FAST!",spam
"What chapter are we on?",ham
"CLAIM YOUR BONUS RIGHT NOW!",spam
"See you next week.",ham
"ACCOUNT ALERT - UPDATE REQUIRED!",spam
"I uploaded the assignment.",ham
"YOU ARE TODAY'S WINNER!",spam
"Let me know if that works.",ham
"FINAL OFFER - LAST CHANCE!",spam
"Thanks for checking.",ham
"FREE ENTRY INTO SWEEPSTAKES!",spam
"Are you coming tonight?",ham
"URGENT LOGIN REQUIRED!",spam
"Meeting confirmed.",ham
"LIMITED TIME CASH BACK!",spam
"Homework looks hard.",ham
"VERIFY NOW TO AVOID PENALTY!",spam
"I’ll be there soon.",ham
"WINNERS RESPOND IMMEDIATELY!",spam
"Bring your calculator.",ham
"FREE DOWNLOAD AVAILABLE!",spam
"Lunch at noon?",ham
"IMMEDIATE BONUS PAYMENT!",spam
"Please review the draft.",ham
"YOU HAVE UNCLAIMED REWARDS!",spam
"Talk later.",ham
"EXCLUSIVE DEAL JUST FOR YOU!",spam
"Call me tonight.",ham
"URGENT RESPONSE NEEDED!",spam
"Thanks for sharing.",ham
"LIMITED ACCESS - CLICK NOW!",spam
"See you in class.",ham
"FREE MONEY WAITING!",spam
"Practice canceled.",ham
"CLAIM YOUR INSTANT PRIZE!",spam
"Can you resend?",ham
"FINAL ACCOUNT NOTICE!",spam
"Bring your laptop.",ham
"RISK FREE BONUS OFFER!",spam
"Thanks for coming.",ham
"VERIFY ACCOUNT DETAILS NOW!",spam
"I’ll update you.",ham
"YOU'VE WON BIG!",spam
"Meeting reminder.",ham
"FREE CASH - NO FEES!",spam
"See you soon.",ham
"URGENT: SECURITY UPDATE REQUIRED!",spam
"Let’s meet after school.",ham
"LIMITED TIME SPECIAL!",spam
"Thanks so much.",ham
"CLAIM YOUR FREE SAMPLE!",spam
"What time is rehearsal?",ham
"IMMEDIATE ACCOUNT VERIFICATION!",spam
"Homework submitted.",ham
"WIN CASH TODAY!",spam
"Chat later.",ham
"FINAL NOTICE BEFORE LOCKOUT!",spam
"Bring the folder.",ham
"FREE BONUS WITH SIGN UP!",spam
"Please respond.",ham
"YOU ARE PRE-APPROVED!",spam
"I’ll check now.",ham
"EXCLUSIVE PROMOTION - ACT FAST!",spam
"Meeting starts soon.",ham
"CLAIM YOUR CASH REWARD!",spam
"Thanks for the reminder.",ham
"URGENT: PASSWORD EXPIRING!",spam
"Lunch tomorrow?",ham
"FREE ACCESS UNLOCKED!",spam
"See you Friday.",ham
"WIN BIG PRIZES TODAY!",spam
"Can you confirm?",ham
"LIMITED TIME REGISTRATION!",spam
"Call me back.",ham
"VERIFY TO CONTINUE SERVICE!",spam
"I’m outside.",ham
"FREE BONUS ALERT!",spam
"Talk tomorrow.",ham
"YOU ARE A WINNER!",spam
"Please advise.",ham
"FINAL OPPORTUNITY!",spam
"See you Saturday.",ham
"FREE TRIAL ACTIVATED!",spam
"Homework done.",ham
"CLAIM YOUR REWARD NOW!",spam
"Thanks again.",ham
"URGENT ACCOUNT REVIEW!",spam
"Bring your ID.",ham
"EXCLUSIVE SAVINGS EVENT!",spam
"Meeting update.",ham
"FREE MEMBERSHIP OFFER!",spam
"See you Sunday.",ham
"IMMEDIATE ACTION REQUIRED!",spam
"Practice tomorrow.",ham
"WIN A FREE TRIP!",spam
"Please check email.",ham
"LIMITED TIME DEAL!",spam
"Talk soon.",ham
"VERIFY PAYMENT INFORMATION!",spam
"I appreciate it.",ham
"FREE GIFT INSIDE!",spam
"See you later.",ham
"YOU QUALIFY FOR A BONUS!",spam
"Call when free.",ham
"FINAL REMINDER - RESPOND NOW!",spam
"Thanks for everything.",ham
"EXCLUSIVE OFFER ENDS TODAY!",spam
"Are you ready?",ham
